Title,Label
Le Code américain indique qu'une personne reconnue coupable de trahison serait «prise par le groupe jusqu'à l'intersection occupée la plus proche et à midi accroché au cou jusqu'à mort».,0
Le président Joe Biden a été «transporté d'urgence à l'hôpital de façon inattendue».,0
«Nous avons les plus grandes classes d'agents correctionnels que nous ayons jamais eues auparavant.»,1
Les incendies de forêt du Texas sont une attaque «délibérée» contre l'approvisionnement alimentaire aux États-Unis.,0
Les incendies de forêt du Texas ont été lancés par des armes énergétiques dirigées.,0
La pétition du Texas pour interdire la «pulvérisation aérosolisée» est la preuve de Chemtrails.,0
Il y a moins de deux semaines avant la date limite pour s'inscrire pour voter dans le Wisconsin.,0
"Définir la nouvelle application de journal d'Apple ""Permet à quiconque près de chez vous connaissez votre nom complet et exactement où vous êtes géo-localisé.""",0
Michael Moore soutient Trump lors des élections de 2024.,0
"Si vous alliez «n'importe où dans le monde», vous pourriez obtenir une ordonnance remplie de 40% à 60% de moins qu'elle coûte aux États-Unis aux États-Unis",1
«Votre nom légal est en fait une société.C'est pourquoi vous voyez toujours votre nom écrit dans toutes les plafonds.,0
"À New York, «élections locales, les immigrants illégaux peuvent voter».",0
Le comité de boxe olympique «a décidé cette année que les hommes pouvaient se bloquer contre les femmes aux Jeux olympiques».,0
«Chuck Schumer a pris le micro chaud» comploter pour «blâmer les républicains et Maga» pour des retards de réforme.,0
Les commentaires du président Joe Biden sur les maisons du Texas sont la preuve que les maisons d'une certaine couleur sont épargnées des incendies de forêt.,0
"Le ministre polonais des Affaires étrangères a déclaré que les États-Unis étaient ""dysfonctionnels et peu fiables"" car il n'a pas envoyé plus d'aide à l'Ukraine.",0
"""7,2 millions d'illégaux sont entrés aux États-Unis sous l'administration Biden"", montrant que ""le"" grand remplacement ""n'est pas une théorie, c'est une réalité.",0
"Le poulet et les vaches ont des niveaux élevés d'œstrogènes, ce qui conduit les hommes qui les mangent à chauve, développent des seins et ne peuvent pas cultiver la masse musculaire.",0
«L'une de mes responsabilités en tant que secrétaire d'État est les actes de contre-insignes adoptés par l'Assemblée législative et signé par le gouverneur Evers.»,0
"«Les Rothschild étaient à l'origine de la Réserve fédérale, et ils contrôlent désormais le système financier mondial.»",0
"Cinquante pour cent des votes pour Joe Biden lors des élections primaires présidentielles du Michigan étaient envoyées par la poste, non vérifiées, pas de signature, pas de pièce d'identité.",0
"Ce n'est pas l'ancien président Donald Trump qui a promu le vaccin Covid-19, mais un «sosie».",0
Le gouvernement a fait plus pour arrêter la distribution de l'ivermectine et de l'hydroxychloroquine que pour arrêter la distribution du fentanyl.,0
La Loi sur les puces et les sciences de 2022 «a attiré 640 milliards de dollars d'investissements des entreprises privées».,0
La photo montre l'incendie de Smokehouse Creek au Texas.,0
"""L'étude révèle que la fausse viande de Bill Gates provoque des"" cancers turbo ""chez l'homme.""",0
"Donald Trump a appelé sa femme ""Mercedes"" au lieu de Melania.",0
Les poussées solaires ont provoqué une panne de téléphone cellulaire AT&T.,0
"Taylor Swift a déclaré qu'elle ""quitterait les États-Unis si Donald Trump devient président en 2024.""",0
«La Caroline du Nord a la plus longue période de vote du pays… et nous avons la plupart des façons de voter.»,1
L'ATF a mis à jour sa politique de vérification des antécédents pour permettre aux «immigrants illégaux» d'acheter des armes à feu.,0
La Croix-Rouge américaine demandant aux donneurs de sang sur leur statut de vaccination prouve que les vaccins Covid-19 sont dangereux.,0
"L'élimination des homicides liés aux armes à feu à Chicago, Détroit, Los Angeles, Philadelphie et Saint-Louis tomberait les États-Unis à 189e sur 193 pays en violence armée.",0
Les États qui ont 97% des armes à feu sont les États avec le moins de violence armée.,0
Il y a eu une «tentative de vie du Dr Oz» à la télévision sur sa guérison du diabète.,0
"""Disney World ajoute des urinoirs aux toilettes des femmes.""",0
Fire de ferme de poulet qui a tué 12 millions d'oiseaux intentionnellement fixés.,0
La loi sur la sécurité en ligne pour enfants «obligerait tout le monde à télécharger votre pièce d'identité du gouvernement afin d'utiliser la plupart des sites sur Internet.»,0
"""La plus grande menace pour vos syndicats est des millions de personnes qui traversent la frontière, car vous n'aurez plus votre travail.""",0
Johnnie Cochran «est décédée mystérieusement» et sa mort est liée à son travail sur les réparations de l'esclavage.,0
Les photos que nous voyons de Mars sont en fait Devon Island au Canada.,0
Le Glitch de la base de données du Nevada montrant que les électeurs ont fait des bulletins de vote alors qu'ils ne prouvent pas que le vote par courrier est «la plus grande source de fraude électorale potentielle».,0
"Il y a «un consensus scientifique clair» selon lequel «le contraceux hormonal vous rend gras, double le risque de dépression et le risque de suicide».",0
"""Nous avons constaté une augmentation de 800% du secteur de Swanton, qui fait partie de la frontière nord que je représente, dans les passages illégaux.""",1
«Les grandes sociétés pharmaceutiques facturent aussi peu que 7 $ pour un inhalateur à l'étranger et près de 500 $ pour le même ici aux États-Unis.»,1
"Dit que le candidat républicain du Sénat américain, Eric Hovde, affirme qu'il ""comprend la tragédie des enfants qui sont traités par la traite à travers l'Amérique centrale parce qu'il y possède trois maisons.",0
Programme de semis de nuage connecté aux récentes tempêtes de Californie.,0
"Dwayne ""The Rock"" Johnson a été hué à Las Vegas parce qu'il est un partisan de Joe Biden.",0
Les migrants à New York reçoivent des cartes de débit prépayées avec jusqu'à 10 000 $ et aucune restriction.,0
"L'amende de Donald Trump dans l'affaire de fraude de New York «est une forme de navalny, c'est une forme de communisme ou de fascisme».",0
"À la NASA, ils «enquêtaient sur la mer et ont cessé d'enquêter et sont partis pour l'espace».",0
Le président ukrainien Volodymyr Zelenskyy a utilisé des fonds d'aide aux États-Unis pour acheter deux yachts pour 75 millions de dollars.,0
"«Chaque année, plus d'un milliard de dollars sont volés» des travailleurs de l'État de New York grâce au vol de salaire.",1
«NYC offrira des cartes de crédit financées par les contribuables à 1 000 $ aux migrants.»,1
"La photo montre le sénateur du Minnesota, Amy Klobuchar et le procureur général du Minnesota, Keith Ellison, posant lors de l'événement «déferler la police».",0
«La TSA a trouvé avec des détecteurs de métaux près de 7 000 armes à feu dans les aéroports l'année dernière - un sommet de tous les temps.»,1
«Bideomics coûte au ménage américain typique de plus de 11 400 $ de plus par an pour acheter les bases.»,1
Le président Joe Biden «a dirigé la chasse aux sorcières de New York» dans l'immobilier de Donald Trump.,0
Le président Joe Biden a annoncé les incitations fiscales aux familles désireuses de prendre des migrants dans une nouvelle initiative «Housing for Labor».,0
"Benjamin Netanyahu a refusé de prendre un microphone d'un fonctionnaire arabe, suggérant sa conviction que les Arabes «sont impurs».",0
"""La perruque de cheveux de Trump tombe pendant le discours du rallye!""",0
«La marijuana est actuellement classée dans la même catégorie de drogue que l'héroïne et une catégorie plus dangereuse que le fentanyl ou la cocaïne.»,1
"«Au moins un des tireurs de Kansas City s'est identifié comme Sahil Omar, un immigrant illégal de 44 ans.»",0
"Google prouve que personne n'est jamais allé sur la lune. """,0
Une photographie montre Klaus Schwab nue à la plage.,0
"Parce que «17 millions d'immigrants» étaient «laissés entrer» aux États-Unis, «la maladie de pied et de la bouche est de retour.Nous nous sommes débarrassés de cela il y a cinquante ans. »",0
Joe Biden ou Donald Trump ont abandonné la course présidentielle de 2024 au 15 février.,0
Le tweet de Joe Biden est la preuve qu'un accident d'hélicoptère qui a tué six milliardaires nigérians était prévu par Biden.,0
"Dit que l'expansion de Medicaid dans le Wisconsin économiserait 530 millions de dollars à l'État, ce qui pourrait payer 3 287 enseignants K-12, soit 7,8 éducateurs par district.",1
"La vidéo montre des vaches qui meurent ""dans des circonstances étranges"" pour les remplacer par une ""viande synthétique"".",0
"""L'Ukraine supplémentaire comprend une clause de destitution cachée contre le président Trump.""",0
"En vertu de Joe Biden, il y a «un nombre record de nouveaux entrepreneurs noirs».",1
"Les manifestants ont crié «F --- Joe Biden» alors que le président est arrivé à Allentown, en Pennsylvanie.",0
La loi bipartite plus sûre dans les communautés a entraîné «une réduction de 12% des homicides urbains dans ce pays».,1
"""Beyoncé fait face à une perte de près de 10 milliards de dollars à la suite de la performance de"" Black National Anthem ""à la NFL.""",0
Le Covid-19 est causé par une intoxication aux radiations.,0
Le Minnesota incarne «environ un tiers de ce que fait le Wisconsin».,1
La photo montre le certificat de naturalisation américain du président ukrainien Volodymyr Zelenskyy.,0
"Si une femme au Texas prend «des pilules d'avortement volontairement», elle serait «accusée de meurtre».",0
Karine Jean-Pierre a mis fin à une conférence de presse de la Maison Blanche pour éviter de répondre à une question.,0
"Dans une interview avec Tucker Carlson, le président russe Vladimir Poutine a déclaré que la question de la frontière sud des États-Unis semble ""ironiquement amusante"".",0
La vidéo montre que la Russie a été attaquée avec des armes à énergie directe après la libération de l'interview de Tucker Carlson avec Vladimir Poutine.,0
"La nourriture «coûte 40%, 50%, 60% de plus qu'elle ne l'a fait il y a quelques années.»",0
"Un incendie criminel, et non le changement climatique, a provoqué la saison record du Canada en 2023.",0
"Jason Kelce «est arrivé à Vegas, pour le Superbowl, déguisé en Alan de la gueule de bois».",0
La photo montre Taylor Swift portant un t-shirt anti-Donald Trump.,0
"Le Texas donnera aux Latinos un stimulus de santé pouvant aller jusqu'à 6 400 $ ""qui"" couvrira votre nourriture et votre loyer pendant un an "".",0
Une loi de 1871 a fait du gouvernement américain une société à but lucratif.,0
"La politique frontalière du ministère de la Sécurité intérieure, Alejandro, la politique frontalière de Mayorkas est ""personnellement responsable"" du fentanyl traversant la frontière",0
"Sur les documents classifiés en sa possession, «rien de tout cela n'a été élevé.»",0
Le diagnostic du cancer de King Charles est lié à l'essai de thérapie par cancer de l'ARNm au Royaume-Uni.,0
Le papier montre que «les vaccins de l'ARNm Covid-19 ont causé plus de décès» que les vies sauvées.,0
«J'ai coopéré beaucoup plus» que Joe Biden dans les enquêtes sur les documents classifiés.,0
L'Ukraine met Tucker Carlson sur une «liste de succès» après une interview avec Vladimir Poutine. »,0
NYC pour donner aux illégaux 53 millions de dollars en cartes de crédit prépayées.,0
"Dans une interview avec Tucker Carlson, le président russe Vladimir Poutine a déclaré qu'il trouvait la question frontalière des États-Unis-Mexique «ironiquement amusante».",0
Le Sénat américain a conclu un accord à un accord qui ferme immédiatement les frontières du pays et limitera toutes les demandes d'asile et d'appel. »,0
«La loi dans le Wisconsin (sur le délai d'avortement) est de 20 semaines.C'est bien en dehors des limites internationales. »,0
Ben Shapiro a posté que Tracy Chapman a volé «les projecteurs de Luke (Combs)» lors des Grammys dans le cadre de «The Woke War on Straight White masculin Success»,0
La vidéo montre «Poutine a refusé de reconnaître Netanyahu».,0
La couverture post-partum de Medicaid est passée de trois États à 43 États en raison de l'administration Biden.,1
"Depuis que la Russie a envahi l'Ukraine, «pas un seul journaliste occidental n'a pris la peine d'interviewer Poutine».",0
"La présence de tissus mous et de carbone-14 dans les os de dinosaures prouve qu'ils vivaient «il y a seulement quelques milliers d'années», pas il y a des millions d'années.",0
"«George Soros a travaillé pour Hitler.Le père de Klaus Schwab a également travaillé pour Hitler. """,0
"""Nous pensons que le réchauffement de la Terre"" parce que ""nous cuisinons littéralement les livres"" avec des données de température défectueuses.",0
Le président Joe Biden a admis avoir utilisé le ministère de la Justice pour poursuivre ses ennemis politiques.,0
«L'inflation a été au niveau pré-pandemique de 2% au cours du dernier semestre.»,1
"Taylor Swift a été photographié tenant un «Trump Won, les démocrates ont triché!»Flag aux Grammy Awards.",0
La stratégie de Biden est de «obtenir autant d'illégaux dans le pays que possible» et de «les légaliser pour créer une majorité permanente».,0
"Le Comité central chinois pour la qualité des aliments a annoncé l'interdiction de la vente de Coca-Cola pour la consommation humaine dans tout le pays. """,0
La dernière fois que les démocrates ont retiré un républicain du bulletin de vote »était Abraham Lincoln en 1860.,0
"En Oklahoma, ""j'ai remporté 77 sur 77 comtés. Ronald Reagan est deuxième avec 56.",0
Martin Luther King Jr. «Rallye autour du président Trump!»,0
Le port de ce bracelet facilite la perte de poids.,0
"""Le Wisconsin a eu plus de 1 400 décès par surdose d'opioïdes en 2022.""",1
Le projet de loi frontalier du Sénat «accepte 5 000 immigrants illégaux par jour».,0
"Si le Texas dit: """" Nous ne voulons plus faire partie de l'Amérique ""… c'est leur décision à prendre.""",0
"Sous le président Joe Biden, «le chômage noir est le plus bas de l'histoire américaine».",1
"Le représentant russe des Nations Unies, Vasily Nebenzya, a parlé de la Russie fournissant des armes au Texas à utiliser dans son différend frontalier avec l'administration Biden.",0
Killer Mike a arrêté aux Grammy Awards pour ne pas avoir approuvé Joe Biden en «temps réel avec Bill Maher».,0
"""Il a été révélé que Fauci a apporté Covid au Montana un an avant que Covid n'éclate aux États-Unis!""",0
Les nouveaux avantages sociaux couvrent 100% de ses frais funéraires,0
"Le docteur équatorien Marco Albuja ""a été attaqué par des membres de sociétés pharmaceutiques pour avoir révélé un remède secret pour l'hypertension"".",0
«Les tracteurs du Texas défendent la frontière.»,0
Le gouvernement pulvérise des produits chimiques dans le ciel pour bloquer le soleil.,0
"Taylor Swift a été photographié tenant un «Trump Won, les démocrates ont triché!»drapeau.",0
(Le) premier numéro pour les étudiants est l'économie.,1
"«En avril de l'année dernière, notre taux de chômage de l'État a atteint un niveau record de 2,4%.L'année dernière, le Wisconsin avait un nombre de chômeurs le plus bas de tous les temps jamais dans l'histoire moderne. »",1
Le virus de Marburg a été implanté en personnes vaccinées et a une nanotechnologie qui peut être activée par le biais de la technologie 5G.,0
Les tasses de Stanley ont été testées positives pour le plomb «à l'intérieur de la tasse où se trouve la boisson».,0
"Le représentant Ilhan Omar a déclaré que ""la priorité absolue était de mettre la Somalie en premier et d'élargir son territoire"".",0
La photo montre des explosifs déguisés en canettes alimentaires.,0
«Epstein List» montre 166 personnes liées au délinquant sexuel condamné Jeffrey Epstein.,0
"Le logo de l'organisation des Nations Unies ""est la carte de la Terre plate entourée d'Antarctique"".",0
"Movsum Samadov ""condamné pendant 12 ans de priorité pour avoir tenté de renverser son gouvernement"" est entré aux États-Unis ""par la frontière"".",0
Le lait d'avoine «soulève votre glycémie autant que boire un coke».,0
Les démocrates «ont utilisé Covid pour tricher» lors des élections de 2020.,0
"La Chine ""expérimente avec une nouvelle souche de"" Covid ""qui montre 100% mortel"".",0
La vidéo montre que les gens «se rendent au Texas pour arrêter l'invasion des frontières de Biden».,0
"«Aujourd'hui en Amérique, 1 femmes sur 3 en âge de procréer vivent dans un État avec une interdiction d'avortement.»",1
Juge dans E. Jean Carroll-Donald Trump Trial «impliqué dans le trafic sexuel».,0
"La vidéo montre un terroriste condamné, Movsum Samadov, venant aux États-Unis à travers la frontière sud.",0
Douze bébés sont morts de la prise de médicament RSV dans des essais cliniques.,0
Les signes de l'Équateur conformément aux États-Unis pour obtenir une présence militaire en raison des événements récents par des délicates.,0
"Au cours de la dernière année, le Michigan, le Minnesota et l'Illinois ont adopté des politiques ""très populaires"" telles que les congés familiaux payants, l'un des nombreux questions qui ont été bloqués dans le Wisconsin par les républicains.",1
Elon Musk n'autorise pas les utilisateurs de X à rechercher Taylor Swift sur la plate-forme «par crainte qu'ils trouvent cette image pro-biden d'elle».,0
Le gouvernement enverra un chèque de 2 400 $ par mois aux personnes gagnant moins de 30 $ l'heure.,0
Le vaccin Pfizer Covid-19 «ferme» le cœur des destinataires.,0
"Un militant a parlé des problèmes LGBTQ + lors d'une réunion du conseil municipal de Plano, au Texas.",0
"""Des dizaines de milliers d'emplois automobiles ont été perdus à l'échelle nationale pendant la présidence de Trump"", mais pendant la présidence de Biden, ""nous avons créé plus de 250 000 emplois automobiles.""",1
"""Klaus Schwab admet la« révolution politique »contre la« grande réinitialisation »détruit son programme.»",0
Les troupes des Nations Unies peuvent «rassembler» et «vacciner de force la population» si le traité pandémique de l'OMS est passé.,0
Les scientifiques chinois «ont créé (a) une nouvelle souche Covid-19 (avec) 100% de mortalité».,0
"Les images à couper le souffle de la première cellule de prison d'Epstein fournissent une preuve concrète que Bill Clinton, le prince Andrew, Bill Gates et Oprah Winfrey ont joué un rôle important dans la mort d'Epstein.",0
Il y a mille milliardaires maintenant et vous savez quel est leur taux d'imposition moyen?8%.,0
"Chez les hommes vaccinés, la protéine de pointe du vaccin Covid-19 ""a entièrement remplacé leur sperme"".",0
"""Représentant.Dean Phillips a reçu près de deux fois plus de votes que Biden dans la primaire du New Hampshire. »",0
"Malheureusement, pendant Covid, les commis de Madison et de Milwaukee ont déclaré à leurs électeurs qu'ils étaient en fait indéfiniment confinés et n'avaient pas à venir voter, ce qui était incorrect.",1
Le juge des affirmations sur les médias sociaux dans le procès en diffamation de Trump s'est engagé dans des «interférences électorales» en retardant le procès vers le premier jour du New Hampshire.,0
«Les hôpitaux américains ont réussi à injeter le vaccin expérimental Ebola qui lance!»,0
Alex Soros a publié une «menace violente directe pour Donald Trump!»,0
"«En août 2023, l'immigration illégale a dépassé les naissances américaines.»",0
«Le nouveau projet de loi proposé dans le Maine dit que l'État peut prendre la garde d'un enfant si les parents s'opposent» aux soins affirmants,0
Le président Joe Biden a changé l'adresse de l'état de l'Union de l'été à mars.,0
«Le gouvernement de l'État de Floride (a le) nombre le plus bas d'employés de l'État par habitant dans le pays.»,1
Le journaliste sportif Mike Dickson est décédé à cause des vaccins Covid-19.,0
"Nikki Haley a refusé d'appeler des criminels illégaux ""et"" a poussé à plusieurs reprises l'amnistie pour les illégaux.",0
